,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
14,UTA,132,100.7,0.535,10.2,23.4,0.25,118.7,0,1,NOP,138,100.7,0.608,10.7,22.0,0.269,124.1,1,2020,2020-01-16,False
15,NOP,138,100.7,0.608,10.7,22.0,0.269,124.1,1,0,UTA,132,100.7,0.535,10.2,23.4,0.25,118.7,0,2020,2020-01-16,True
16,CHI,102,94.4,0.453,10.0,25.0,0.294,108.1,0,1,PHO,129,94.4,0.625,10.3,29.4,0.286,136.7,1,2022,2022-03-18,False
17,PHO,129,94.4,0.625,10.3,29.4,0.286,136.7,1,0,CHI,102,94.4,0.453,10.0,25.0,0.294,108.1,0,2022,2022-03-18,True
18,GSW,120,105.5,0.572,11.1,17.3,0.093,113.7,0,1,ORL,124,105.5,0.585,11.4,18.2,0.149,117.5,1,2021,2021-02-19,False
19,ORL,124,105.5,0.585,11.4,18.2,0.149,117.5,1,0,GSW,120,105.5,0.572,11.1,17.3,0.093,113.7,0,2021,2021-02-19,True
20,IND,107,100.2,0.531,18.4,25.6,0.259,106.8,0,1,MIL,125,100.2,0.646,18.5,35.3,0.232,124.8,1,2017,2016-11-03,False
21,MIL,125,100.2,0.646,18.5,35.3,0.232,124.8,1,0,IND,107,100.2,0.531,18.4,25.6,0.259,106.8,0,2017,2016-11-03,True
22,POR,108,107.7,0.474,13.8,22.6,0.177,100.3,0,1,HOU,132,107.7,0.555,12.6,34.7,0.21,122.6,1,2020,2019-11-18,False
23,HOU,132,107.7,0.555,12.6,34.7,0.21,122.6,1,0,POR,108,107.7,0.474,13.8,22.6,0.177,100.3,0,2020,2019-11-18,True
24,ATL,114,96.6,0.525,7.1,27.7,0.101,118.0,0,1,BRK,102,96.6,0.518,17.2,26.1,0.207,105.6,1,2018,2017-12-02,True
25,BRK,102,96.6,0.518,17.2,26.1,0.207,105.6,1,0,ATL,114,96.6,0.525,7.1,27.7,0.101,118.0,0,2018,2017-12-02,False
26,PHI,96,100.1,0.475,17.5,17.8,0.25,95.9,0,1,GSW,116,100.1,0.619,15.0,10.8,0.213,115.9,1,2022,2021-11-24,False
27,GSW,116,100.1,0.619,15.0,10.8,0.213,115.9,1,0,PHI,96,100.1,0.475,17.5,17.8,0.25,95.9,0,2022,2021-11-24,True
28,DAL,98,93.6,0.518,11.8,18.2,0.131,104.7,0,1,OKC,109,93.6,0.576,15.4,20.0,0.361,116.5,1,2017,2017-01-26,False
29,OKC,109,93.6,0.576,15.4,20.0,0.361,116.5,1,0,DAL,98,93.6,0.518,11.8,18.2,0.131,104.7,0,2017,2017-01-26,True
30,LAC,107,98.8,0.595,20.7,17.6,0.257,108.3,0,1,ORL,93,98.8,0.444,16.2,22.4,0.259,94.1,1,2016,2016-02-05,True
31,ORL,93,98.8,0.444,16.2,22.4,0.259,94.1,1,0,LAC,107,98.8,0.595,20.7,17.6,0.257,108.3,0,2016,2016-02-05,False
32,DET,129,96.5,0.637,10.7,30.8,0.143,133.7,0,1,TOR,105,96.5,0.519,13.4,15.9,0.325,108.9,1,2021,2021-03-03,True
33,TOR,105,96.5,0.519,13.4,15.9,0.325,108.9,1,0,DET,129,96.5,0.637,10.7,30.8,0.143,133.7,0,2021,2021-03-03,False
34,SAS,104,91.5,0.53,8.9,13.6,0.193,113.7,0,1,DAL,115,91.5,0.596,13.3,35.1,0.193,125.7,1,2021,2021-03-10,False
35,DAL,115,91.5,0.596,13.3,35.1,0.193,125.7,1,0,SAS,104,91.5,0.53,8.9,13.6,0.193,113.7,0,2021,2021-03-10,True
36,ORL,93,94.5,0.449,9.5,18.5,0.159,98.5,0,1,LAL,96,94.5,0.482,11.5,16.3,0.207,101.6,1,2021,2021-03-28,False
37,LAL,96,94.5,0.482,11.5,16.3,0.207,101.6,1,0,ORL,93,94.5,0.449,9.5,18.5,0.159,98.5,0,2021,2021-03-28,True
38,MEM,104,93.1,0.543,13.6,22.2,0.183,111.7,0,1,NOP,111,93.1,0.545,9.8,15.0,0.333,119.2,1,2018,2018-01-20,False
39,NOP,111,93.1,0.545,9.8,15.0,0.333,119.2,1,0,MEM,104,93.1,0.543,13.6,22.2,0.183,111.7,0,2018,2018-01-20,True
40,WAS,93,95.9,0.481,13.5,13.6,0.2,97.0,0,1,UTA,114,95.9,0.634,17.7,14.8,0.433,118.9,1,2016,2016-03-11,False
41,UTA,114,95.9,0.634,17.7,14.8,0.433,118.9,1,0,WAS,93,95.9,0.481,13.5,13.6,0.2,97.0,0,2016,2016-03-11,True
42,ORL,103,95.3,0.479,10.4,32.7,0.126,108.1,0,1,BOS,118,95.3,0.555,7.3,27.1,0.187,123.9,1,2018,2017-11-24,False
43,BOS,118,95.3,0.555,7.3,27.1,0.187,123.9,1,0,ORL,103,95.3,0.479,10.4,32.7,0.126,108.1,0,2018,2017-11-24,True
44,LAL,116,102.9,0.564,14.9,27.9,0.359,112.7,0,1,POR,108,102.9,0.474,9.6,14.0,0.189,105.0,1,2020,2020-08-22,True
45,POR,108,102.9,0.474,9.6,14.0,0.189,105.0,1,0,LAL,116,102.9,0.564,14.9,27.9,0.359,112.7,0,2020,2020-08-22,False
46,DAL,129,95.2,0.52,5.0,20.4,0.276,122.7,0,1,MEM,127,95.2,0.526,6.0,20.0,0.245,120.8,1,2019,2019-04-07,True
47,MEM,127,95.2,0.526,6.0,20.0,0.245,120.8,1,0,DAL,129,95.2,0.52,5.0,20.4,0.276,122.7,0,2019,2019-04-07,False
48,WAS,103,93.1,0.463,9.8,33.3,0.17,110.7,0,1,PHI,94,93.1,0.476,10.8,15.6,0.195,101.0,1,2016,2016-02-26,True
49,PHI,94,93.1,0.476,10.8,15.6,0.195,101.0,1,0,WAS,103,93.1,0.463,9.8,33.3,0.17,110.7,0,2016,2016-02-26,False
50,SAS,125,102.1,0.6,11.8,20.5,0.271,122.4,0,1,ATL,114,102.1,0.494,10.3,20.8,0.278,111.6,1,2021,2021-02-12,True
51,ATL,114,102.1,0.494,10.3,20.8,0.278,111.6,1,0,SAS,125,102.1,0.6,11.8,20.5,0.271,122.4,0,2021,2021-02-12,False
52,MEM,68,89.7,0.337,12.2,28.1,0.116,75.8,0,1,SAS,94,89.7,0.538,17.8,9.7,0.348,104.8,1,2016,2016-04-19,False
53,SAS,94,89.7,0.538,17.8,9.7,0.348,104.8,1,0,MEM,68,89.7,0.337,12.2,28.1,0.116,75.8,0,2016,2016-04-19,True
54,LAC,91,88.9,0.488,10.1,23.3,0.12,102.3,0,1,LAL,81,88.9,0.378,11.0,29.1,0.144,91.1,1,2016,2016-04-06,True
55,LAL,81,88.9,0.378,11.0,29.1,0.144,91.1,1,0,LAC,91,88.9,0.488,10.1,23.3,0.12,102.3,0,2016,2016-04-06,False
56,IND,103,100.4,0.59,20.2,12.1,0.25,102.6,0,1,ORL,119,100.4,0.531,8.6,22.2,0.177,118.5,1,2022,2022-02-28,False
57,ORL,119,100.4,0.531,8.6,22.2,0.177,118.5,1,0,IND,103,100.4,0.59,20.2,12.1,0.25,102.6,0,2022,2022-02-28,True
58,LAL,110,101.4,0.516,12.9,25.5,0.176,108.5,0,1,SAS,117,101.4,0.601,14.1,27.9,0.19,115.4,1,2022,2022-03-07,False
59,SAS,117,101.4,0.601,14.1,27.9,0.19,115.4,1,0,LAL,110,101.4,0.516,12.9,25.5,0.176,108.5,0,2022,2022-03-07,True
60,PHI,119,105.9,0.535,14.5,27.9,0.329,112.4,0,1,SAC,111,105.9,0.505,9.3,14.5,0.111,104.8,1,2021,2021-02-09,True
61,SAC,111,105.9,0.505,9.3,14.5,0.111,104.8,1,0,PHI,119,105.9,0.535,14.5,27.9,0.329,112.4,0,2021,2021-02-09,False
